Year,Percentage Sales Online
2013 JUL,9.5
2013 AUG,9.7
2013 SEP,10.1
2013 OCT,10.7
2013 NOV,12.1
2013 DEC,11.8
2014 JAN,11.1
2014 FEB,10.7
2014 MAR,10.8
2014 APR,10.6
2014 MAY,10.9
2014 JUN,10.7
2014 JUL,10.6
2014 AUG,10.7
2014 SEP,10.9
2014 OCT,11.5
2014 NOV,13.7
2014 DEC,12.8
2015 JAN,12.8
2015 FEB,11.7
2015 MAR,11.7
2015 APR,12.2
2015 MAY,11.7
2015 JUN,11.9
2015 JUL,11.8
2015 AUG,11.5
2015 SEP,12.1
2015 OCT,12.7
2015 NOV,15.5
2015 DEC,14.1
2016 JAN,14.2
2016 FEB,12.9
2016 MAR,13
2016 APR,13.5
2016 MAY,13.6
2016 JUN,13.9
2016 JUL,13.4
2016 AUG,13.7
2016 SEP,14.8
2016 OCT,15.5
2016 NOV,18.8
2016 DEC,17.1
2017 JAN,16.2
2017 FEB,15.2
2017 MAR,15.6
2017 APR,15.2
2017 MAY,15.4
2017 JUN,15.8
2017 JUL,15.5
2017 AUG,15.4
2017 SEP,16
2017 OCT,16.5
2017 NOV,19.9
2017 DEC,17.9
2018 JAN,17.7
2018 FEB,16.8
2018 MAR,17.3
2018 APR,17.2
2018 MAY,17.5
2018 JUN,17.5
2018 JUL,17.1
2018 AUG,16.7
2018 SEP,17.2
2018 OCT,18.1
2018 NOV,21.6
2018 DEC,19.7
2019 JAN,19.3
2019 FEB,18.3
2019 MAR,18.9
2019 APR,18.4
2019 MAY,18.8
2019 JUN,18.3
2019 JUL,18.7
2019 AUG,18.1
2019 SEP,18.1
2019 OCT,19.1
2019 NOV,21.6
2019 DEC,21.4
2020 JAN,20.2
2020 FEB,19.1
2020 MAR,22.1
2020 APR,30.3
2020 MAY,32.8
2020 JUN,31.3
2020 JUL,28.3
2020 AUG,27
2020 SEP,26.7
2020 OCT,29
2020 NOV,37.2
2020 DEC,31.3
2021 JAN,37.8
2021 FEB,36.5
2021 MAR,34.4
2021 APR,30.1
2021 MAY,28.5
2021 JUN,27.9
2021 JUL,28
2021 AUG,27.7
2021 SEP,28.3
2021 OCT,28.9
2021 NOV,32.8
2021 DEC,30.5
2022 JAN,30.1
2022 FEB,27.9
2022 MAR,26.3
2022 APR,26.5
2022 MAY,25.8
2022 JUN,25.2
2022 JUL,24.9
2022 AUG,24.3
2022 SEP,25.1
2022 OCT,25.5
2022 NOV,29.5
2022 DEC,26.8
2023 JAN,26.9
2023 FEB,25.2
