DATAFLOW,LAST UPDATE,freq,ind_type,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,LV,2020,62.80,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,LV,2021,67.03,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,MT,2020,72.05,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,MT,2021,73.75,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,NL,2020,91.18,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,NL,2021,93.96,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,NO,2020,86.67,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,NO,2021,92.02,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,PL,2020,71.82,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,PL,2021,70.41,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,PT,2020,56.00,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,PT,2021,62.15,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,RO,2020,44.78,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,RO,2021,43.91,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,RS,2020,47.91,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,RS,2021,52.90,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,SE,2020,86.35,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,SE,2021,89.27,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,SI,2020,71.83,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,SI,2021,79.14,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,SK,2020,68.49,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,SK,2021,83.53,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,TR,2020,41.68,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,TR,2021,48.81,
ESTAT:ISOC_EC_IB20(1.0),07/03/23 11:00:00,A,IND_TOTAL,I_BLT12,PC_IND_ILT12,XK,2020,47.24,
