Date,Online - Predominantly Food Stores Total,Online - Textile Clothing and Footwear Stores Total,Online - Retail Sale of Textiles,Online - Retail Sale of Clothing,Online - Footwear and Leather Goods,Online - Books Newspapers and Stationery
2018OCT,675721,695164,20008,622496,52660,15318
2018NOV,754154,932675,32171,817417,83087,17842
2018DEC,1038435,1279142,33946,1125622,119574,49685
2019JAN,668934,667049,16769,582911,67369,13084
2019FEB,695998,528867,12593,466120,50154,10869
2019MAR,848592,781841,15188,703723,62930,12118
2019APR,693437,650458,10955,575257,64246,9629
2019MAY,683879,656842,14383,583879,58580,9235
2019JUN,836046,900007,16121,809035,74851,12438
2019JUL,685449,689864,15761,605880,68223,11700
2019AUG,690890,617068,14690,535265,67113,12976
2019SEP,850854,826905,19104,735434,72367,22387
2019OCT,690456,737070,18772,644400,73898,16718
2019NOV,744818,974922,22400,868899,83623,31884
2019DEC,963603,1306776,33767,1104865,168144,70517
